card_id,category,rate_percent
sbi_simplyclick_credit_card,travel,25.0
sbi_simplysave_credit_card,dining,10.0
sbi_simplysave_credit_card,grocery,10.0
sbi_simplysave_credit_card,other,1.0
scapia_federal_bank_credit_card,other,10.0
slice_credit_card,other,2.0
standard_chartered_easemytrip_credit_card,other,10.0
standard_chartered_easemytrip_credit_card,travel,30.0
standard_chartered_manhattan_cashback_card,dining,3.0
standard_chartered_manhattan_cashback_card,other,1.0
standard_chartered_rewards_credit_card,other,0.667
standard_chartered_smart_credit_card,online,2.0
standard_chartered_smart_credit_card,other,1.0
standard_chartered_ultimate_credit_card,other,1.0
union_bank_of_india_visa_classic_credit_card,other,0.25
union_bank_rupay_credit_card,other,0.25
yes_bank_byoc_credit_card,other,1.0
yes_bank_marquee_credit_card,other,24.0
yes_bank_premia_credit_card,other,3.0
yes_bank_wellness_plus_credit_card,other,9.0
yes_first_preferred_credit_card,other,6.0
