card_id,bank,name,annual_fee,joining_fee,fee_waiver_spend,lounge_domestic,lounge_intl,forex_markup_pct,min_income_annual,is_lifetime_free
american_express_smartearn_credit_card,Amex,American Express SmartEarn Credit Card,495,495,40000,0,0,3.5,450000,0
american_express_gold_card,Amex,American Express Gold Card,4500,0,0,8,0,3.5,600000,0
kotak_811_dream_different_credit_card,Kotak,Kotak 811 Dream Different Credit Card,0,0,0,0,0,3.5,150000,1
kotak_royale_signature_credit_card,Kotak,Kotak Royale Signature Credit Card,999,999,150000,8,0,3.5,400000,0
kotak_zen_signature_credit_card,Kotak,Kotak Zen Signature Credit Card,1999,1999,200000,8,0,3.5,500000,0
kotak_white_reserve_credit_card,Kotak,Kotak White Reserve Credit Card,0,0,0,2000,6,0.0,5000000,1
standard_chartered_smart_credit_card,StandardChartered,Standard Chartered Smart Credit Card,499,499,144000,0,0,3.5,300000,0
standard_chartered_rewards_credit_card,StandardChartered,Standard Chartered Rewards Credit Card,1000,1000,150000,4,0,3.5,400000,0
standard_chartered_easemytrip_credit_card,StandardChartered,Standard Chartered EaseMyTrip Credit Card,350,350,50000,4,0,3.5,250000,0
indusind_bank_pinnacle_credit_card,IndusInd,IndusInd Bank Pinnacle Credit Card,25000,25000,2000000,2000,0,1.8,4000000,0
indusind_bank_celesta_credit_card,IndusInd,IndusInd Bank Celesta Credit Card,10000,10000,1200000,2000,6,2.0,2000000,0
indusind_bank_platinum_aura_edge_credit_card,IndusInd,IndusInd Bank Platinum Aura Edge Credit Card,1499,1499,150000,4,0,3.5,400000,0
indusind_bank_legend_credit_card,IndusInd,IndusInd Bank Legend Credit Card,3999,3999,400000,8,0,2.5,800000,0
yes_bank_marquee_credit_card,YESBank,YES Bank Marquee Credit Card,9999,9999,1000000,2000,0,1.5,2000000,0
yes_bank_premia_credit_card,YESBank,YES Bank Premia Credit Card,2999,2999,400000,8,0,2.5,800000,0
yes_bank_byoc_credit_card,YESBank,YES Bank BYOC Credit Card,0,0,0,0,0,3.5,150000,1
rbl_bank_edition_credit_card,RBL,RBL Bank Edition Credit Card,5000,5000,500000,12,0,2.0,1200000,0
rbl_bank_shoprite_credit_card,RBL,RBL Bank ShopRite Credit Card,0,0,0,0,0,3.5,200000,1
rbl_bank_popcorn_credit_card,RBL,RBL Bank Popcorn Credit Card,0,0,0,0,0,3.5,150000,1
hsbc_premier_credit_card,HSBC,HSBC Premier Credit Card,0,0,0,2000,4,0.0,3000000,1
hsbc_visa_platinum_credit_card,HSBC,HSBC Visa Platinum Credit Card,0,0,0,0,0,3.5,400000,1
federal_bank_signet_credit_card,FederalBank,Federal Bank Signet Credit Card,0,0,0,4,0,3.5,300000,1
federal_bank_celesta_credit_card,FederalBank,Federal Bank Celesta Credit Card,7500,7500,800000,2000,0,2.0,1500000,0
au_bank_lit_credit_card,AUBank,AU Bank LIT Credit Card,0,0,0,0,0,3.5,200000,1
au_bank_altura_plus_credit_card,AUBank,AU Bank Altura Plus Credit Card,499,499,80000,4,0,3.5,250000,0
au_bank_zenith_plus_credit_card,AUBank,AU Bank Zenith Plus Credit Card,4999,4999,400000,8,0,1.99,1000000,0
bank_of_baroda_prime_credit_card,BankOfBaroda,Bank of Baroda Prime Credit Card,499,499,75000,2,0,3.5,200000,0
idfc_first_bank_credit_card,IDFCFirst,IDFC First Bank Credit Card,0,0,0,4,0,1.99,300000,1
idfc_first_bank_wealth_credit_card,IDFCFirst,IDFC First Bank Wealth Credit Card,0,0,0,2000,4,1.5,1800000,1
onecard_credit_card,OneCard,OneCard Credit Card,0,0,0,0,0,1.0,300000,1
slice_credit_card,Slice,Slice Credit Card,0,0,0,0,0,3.5,150000,1
hdfc_freedom_credit_card,HDFC,HDFC Freedom Credit Card,0,0,0,0,0,3.5,150000,1
hdfc_swiggy_credit_card,HDFC,HDFC Swiggy Credit Card,500,500,200000,0,0,3.5,250000,0
hdfc_irctc_credit_card,HDFC,HDFC IRCTC Credit Card,500,500,100000,0,0,3.5,200000,0
hdfc_bharat_credit_card,HDFC,HDFC Bharat Credit Card,0,0,0,0,0,3.5,150000,1
hdfc_business_regalia_credit_card,HDFC,HDFC Business Regalia Credit Card,2500,2500,300000,12,0,2.0,1000000,0
sbi_prime_credit_card,SBI,SBI Prime Credit Card,2999,2999,300000,8,0,3.5,600000,0
sbi_aurum_credit_card,SBI,SBI Aurum Credit Card,9999,9999,1000000,2000,0,1.99,1800000,0
sbi_card_pulse,SBI,SBI Card PULSE,1999,1999,200000,4,0,3.5,400000,0
irctc_sbi_platinum_credit_card,SBI,IRCTC SBI Platinum Credit Card,1499,500,0,0,0,3.5,200000,0
axis_bank_reserve_credit_card,Axis,Axis Bank Reserve Credit Card,50000,50000,3500000,2000,4,1.5,6000000,0
axis_bank_privilege_credit_card,Axis,Axis Bank Privilege Credit Card,1500,1500,200000,6,0,3.5,400000,0
axis_bank_airtel_credit_card,Axis,Axis Bank Airtel Credit Card,500,500,200000,4,0,3.5,250000,0
axis_bank_atlas_credit_card,Axis,Axis Bank Atlas Credit Card,5000,5000,750000,2000,0,2.0,1200000,0
icici_bank_emeralde_private_metal_credit_card,ICICI,ICICI Bank Emeralde Private Metal Credit Card,12000,12000,1500000,2000,4,1.5,2500000,0
icici_bank_platinum_credit_card,ICICI,ICICI Bank Platinum Credit Card,0,0,0,0,0,3.5,200000,1
icici_bank_makemytrip_signature_credit_card,ICICI,ICICI Bank MakeMyTrip Signature Credit Card,2000,2000,200000,6,0,3.5,500000,0
pnb_rupay_select_credit_card,PNB,PNB RuPay Select Credit Card,499,499,50000,4,0,3.5,200000,0
pnb_pride_rupay_select_credit_card,PNB,PNB Pride Rupay Select Credit Card,999,999,100000,6,0,3.5,300000,0
canara_bank_rupay_platinum_credit_card,CanaraBank,Canara Bank RuPay Platinum Credit Card,500,500,50000,2,0,3.5,200000,0
canara_bank_visa_gold_credit_card,CanaraBank,Canara Bank Visa Gold Credit Card,0,0,0,0,0,3.5,150000,1
union_bank_of_india_visa_classic_credit_card,UnionBank,Union Bank of India Visa Classic Credit Card,250,250,25000,0,0,3.5,150000,0
union_bank_rupay_credit_card,UnionBank,Union Bank RuPay Credit Card,0,0,0,0,0,3.5,150000,1
bank_of_baroda_eterna_credit_card,BankOfBaroda,Bank of Baroda Eterna Credit Card,2499,2499,250000,8,0,2.0,600000,0
bank_of_baroda_select_credit_card,BankOfBaroda,Bank of Baroda Select Credit Card,750,750,75000,4,0,3.5,300000,0
idbi_bank_royale_signature_credit_card,IDBI,IDBI Bank Royale Signature Credit Card,1500,1500,150000,4,0,3.5,400000,0
idbi_bank_euphoria_world_credit_card,IDBI,IDBI Bank Euphoria World Credit Card,500,500,50000,2,0,3.5,250000,0
citi_rewards_credit_card,Citi,Citi Rewards Credit Card,1000,1000,125000,0,0,3.5,400000,0
citi_cashback_credit_card,Citi,Citi Cashback Credit Card,500,500,0,0,0,3.5,250000,0
citi_premiermiles_credit_card,Citi,Citi PremierMiles Credit Card,3000,3000,300000,12,0,3.5,800000,0
standard_chartered_ultimate_credit_card,StandardChartered,Standard Chartered Ultimate Credit Card,5000,5000,750000,2000,4,0.0,1200000,0
standard_chartered_manhattan_cashback_card,StandardChartered,Standard Chartered Manhattan Cashback Card,999,999,100000,0,0,3.5,300000,0
indusind_bank_nexxt_credit_card,IndusInd,IndusInd Bank Nexxt Credit Card,999,999,100000,4,0,3.5,300000,0
indusind_eazydiner_credit_card,IndusInd,IndusInd EazyDiner Credit Card,1999,1999,200000,4,0,3.5,500000,0
kotak_pvr_platinum_credit_card,Kotak,Kotak PVR Platinum Credit Card,999,999,100000,0,0,3.5,300000,0
kotak_league_platinum_credit_card,Kotak,Kotak League Platinum Credit Card,0,0,0,0,0,3.5,200000,1
yes_first_preferred_credit_card,YESBank,YES First Preferred Credit Card,999,999,100000,4,0,3.5,400000,0
yes_bank_wellness_plus_credit_card,YESBank,YES Bank Wellness Plus Credit Card,1499,1499,150000,4,0,3.5,400000,0
rbl_bank_titanium_delight_credit_card,RBL,RBL Bank Titanium Delight Credit Card,1000,1000,100000,0,0,3.5,300000,0
rbl_bank_monthly_treats_credit_card,RBL,RBL Bank Monthly Treats Credit Card,0,0,0,0,0,3.5,150000,1
au_bank_eminence_credit_card,AUBank,AU Bank Eminence Credit Card,9999,9999,1500000,2000,6,1.75,2500000,0
idfc_first_millennia_credit_card,IDFCFirst,IDFC First Millennia Credit Card,0,0,0,0,0,3.5,200000,1
idfc_first_select_credit_card,IDFCFirst,IDFC First Select Credit Card,0,0,0,4,0,1.99,600000,1
bajaj_finserv_rbl_bank_supercard,BajajFinserv,Bajaj Finserv RBL Bank SuperCard,499,499,50000,0,0,3.5,200000,0
paytm_sbi_credit_card,SBI,Paytm SBI Credit Card,499,499,100000,0,0,3.5,200000,0
paytm_sbi_select_credit_card,SBI,Paytm SBI Select Credit Card,1499,1499,200000,4,0,3.5,400000,0
fi_money_federal_bank_credit_card,FederalBank,Fi Money Federal Bank Credit Card,0,0,0,0,0,1.0,250000,1
scapia_federal_bank_credit_card,FederalBank,Scapia Federal Bank Credit Card,0,0,0,2000,0,0.0,300000,1
kreditbee_bank_credit_card,IDFCFirst,Kreditbee Bank Credit Card,0,0,0,0,0,3.5,150000,1
federal_bank_visa_rupay_credit_card,FederalBank,Federal Bank Visa RuPay Credit Card,0,0,0,2,0,3.5,200000,1
